codigo;descricao;nacionalfederal;importadosfederal;estadual;municipal;vigenciainicio;vigenciafim
0;PRODUTO NAO ESPECIFICADO NA LISTA DE NCM;7.85;9.85;5.00;0.00;01/02/2021;30/04/2021
1012100;Cavalos reprodutores,de raca pura;4.20;6.20;18.00;0.00;01/02/2021;30/04/2021
1012900;Cavalos vivos,exceto reprodutores de raca pura;4.20;8.16;18.00;0.00;01/02/2021;30/04/2021
1013000;Asininos;4.20;10.05;18.00;0.00;01/02/2021;30/04/2021
1019000;Outros asininos e muares,vivos;4.20;10.05;18.00;0.00;01/02/2021;30/04/2021
1022110;Bovinos reprodutores,de raca pura,prenhe ou com cria ao pe;4.20;6.20;12.00;0.00;01/02/2021;30/04/2021
1022190;Outros bovinos reprodutores,de raca pura;4.20;6.20;12.00;0.00;01/02/2021;30/04/2021
1022911;Outros bovinos para reprodução, prenhe ou com cria ao pe;4.20;8.16;12.00;0.00;01/02/2021;30/04/2021
1022919;Outros bovinos domésticos para reprodução;4.20;8.16;12.00;0.00;01/02/2021;30/04/2021
1022990;Outros bovinos domésticos;4.20;8.16;12.00;0.00;01/02/2021;30/04/2021
1023110;Búfalos reprodutores,de raca pura, prenhe ou com cria ao pe;4.20;6.20;12.00;0.00;01/02/2021;30/04/2021
1023190;Outros búfalos reprodutores,de raca pura;4.20;6.20;12.00;0.00;01/02/2021;30/04/2021
1023911;Outros búfalos para reprodução, prenhe ou com cria ao pe;4.20;8.16;12.00;0.00;01/02/2021;30/04/2021
1023919;Outros búfalos para reprodução;4.20;8.16;12.00;0.00;01/02/2021;30/04/2021
1023990;Outros búfalos;4.20;8.16;12.00;0.00;01/02/2021;30/04/2021
1029000;Outros animais vivos da espécie bovina;4.20;6.20;12.00;0.00;01/02/2021;30/04/2021
1031000;Suinos  reprodutores de raça pura;4.20;6.20;12.00;0.00;01/02/2021;30/04/2021
1039100;Outros suinos,vivos,de peso inferior a 50kg;4.20;8.16;12.00;0.00;01/02/2021;30/04/2021
1039200;Outros suinos,vivos,de peso igual ou superior a 50kg;4.20;8.16;12.00;0.00;01/02/2021;30/04/2021
1041011;Ovinos reprodutores,de raca pura,prenhe ou c/cria ao pe;4.20;6.20;12.00;0.00;01/02/2021;30/04/2021
1041019;Outros ovinos,reprodutores,de raca pura;4.20;6.20;12.00;0.00;01/02/2021;30/04/2021
